No;Kecamatan;Nama Sekolah;Alamat;Kepala Sekolah;Media Sosial;Nomor Telepon;Email;NPSN;Akreditasi;Jumlah Siswa;Guru;Pendidik;Kelas;Lab;Perpus;Gmaps
1;Wangon;SD NEGERI 1 WANGON;Jalan Raya Timur Wangon WANGON Kec. Wangon Kab. Banyumas Jawa Tengah;Tohari;(-);281513221;sdn_1wangon@yahoo.com;20301514;A;383;14;1;0;0;0;https://maps.app.goo.gl/eZXYLREtBShYHg4G7
2;Wangon;SD NEGERI 2 WANGON;Jalan Raya Barat Wangon Wangon Kec. Wangon Kab. Banyumas Jawa Tengah;Endah Widiastuti;(-);281513152;sdn2wangon@gmail.com;20301630;A;237;12;3;0;0;0;https://maps.app.goo.gl/hyycQqS5NK3QnhsZ9
3;Wangon;SD NEGERI 3 WANGON;Wangon Rt. 01 Rw. 02 Wangon Kec. Wangon Kab. Banyumas Jawa Tengah;Akhmad Sururi;(-);(-);sdnwangon3@gmail.com;20301616;A;142;8;1;0;0;0;https://maps.app.goo.gl/sC85TNdi1FViLcaAA
4;Wangon;SD NEGERI 4 WANGON;Jl. Raya Barat Wangon WANGON Kec. Wangon Kab. Banyumas Jawa Tengah;Sugiyono;(-);(-);sdn4wangon17@gmail.com;20301675;A;99;8;2;6;0;1;https://maps.app.goo.gl/8uBFsEPJqUz3vLbQ8
5;Wangon;SD NEGERI 5 WANGON;Jalan Slatri Rt. 03 Rw. 016 Wangon Kec. Wangon Kab. Banyumas Jawa Tengah;Siti Markhamah;(-);(-);sdn5wangon@yahoo.com;20301675;A;101;8;3;6;0;1;https://maps.app.goo.gl/SPxRUNYD4ma8URWM8
6;Wangon;SD IT Insan Harapan Wangon;Jln. Ranjingan RT 05 RW 08 Klapagading Kec. Wangon Kab. Banyumas Jawa Tengah;Elantri Nuralfian;https://www.instagram.com/sdit_insanharapan_wangon/;(-);(-);70004315;B;162;10;3;6;0;1;https://maps.app.goo.gl/m2VsXcZeWdKEpeEZ6
7;Wangon;SDN 1 Banteran;Jalan Raya Utara Wangon - Ajibarang No 45 Banteran Kec. Wangon Kab. Banyumas Jawa Tengah;Agus Rudito;https://www.instagram.com/sdn.banteran1/;2816849152;sdn1banteran.wangon@gmail.com;20355414;A;126;7;2;6;0;1;https://maps.app.goo.gl/kdm3YRaPVnNMxdENA
8;Wangon;SD NEGERI 1 JAMBU;Jl. Raya Utara Wangon Jambu Kec. Wangon Kab. Banyumas Jawa Tengah;Sumar;https://www.instagram.com/sdn1jambu/;(-);sdn1jambuwangon@gmail.com;20302369;A;160;7;1;0;0;0;https://maps.app.goo.gl/DTAiAGTrN2UzqM6t7
9;Wangon;SD NEGERI 1 RANCABANTENG;Jl. Raya Timur Wangon Klapagading Kulon Kec. Wangon Kab. Banyumas Jawa Tengah;(-);https://www.instagram.com/km2_sdn1rancabanteng/;281513337;sdn1rancabanteng@gmail.com;20302834;B;73;8;2;0;0;0;https://maps.app.goo.gl/CQ6oNCZvf3y1M9299
10;Wangon;SD NEGERI 2 JAMBU;Jl. Raya Ajibarang-Wangon Jambu Kec. Wangon Kab. Banyumas Jawa Tengah;Susi Lindiati;(-);(-);sdnegeri2jambu@gmail.com;20302538;A;62;8;2;0;0;0;https://maps.app.goo.gl/am58qAsaQM9vu8kLA
11;Wangon;SD NEGERI 2 RANCABANTENG;Jalan Raya Timur Klapagading Kulon Wangon Klapagading Kulon Kec. Wangon Kab. Banyumas Jawa Tengah;Kuswati;(-);281513071;(-);20301756;A;147;8;2;0;0;0;https://maps.app.goo.gl/7RhkaXEcSZH4fP4RA
12;Wangon;SD NEGERI 2 RAWAHENG;Jalan Raya Wangon Cilacap RAWAHENG Kec. Wangon Kab. Banyumas Jawa Tengah;Musti Hayati;https://www.instagram.com/sdn2rawaheng/;(-);rawahenggembrong@gmail.com;20301761;A;202;8;2;0;0;0;https://maps.app.goo.gl/EHidoqXivoQrJ5NE6
13;Wangon;SD NEGERI KARANGTAWANG;Karangtawang, Banteran Rt 01 Rw 03 Banteran Kec. Wangon Kab. Banyumas Jawa Tengah;Diyana;(-);(-);sdnkarangtawang.wangon@gmail.com;20338197;A;102;8;3;6;0;1;
14;Wangon;SDN 2 Karangtengah;Karangtengah RT 04 RW 08 Jambu Kec. Wangon Kab. Banyumas Jawa Tengah;Titie Handayani;(-);(-);sdn2karangtengah_wangon@yahoo.co.id;20302663;A;114;7;3;0;0;0;https://maps.app.goo.gl/XGPX7EBhapCBtLZz8
