No;Kecamatan ;Nama Sekolah;Alamat;Kepala Sekolah;Media Sosial;Nomor Telepon;Email;AkreditasI;Operator ;Website;Jumlah Siswa;Rombel;Guru;Pendidik;Kelas;Lab;Perpus;Gmaps
1;Ajibarang;SMP Negeri 2 Ajibarang;Jl. Pandansari 1044;Agus Suwarno;https://www.instagram.com/esperoajibarang/;281572318;espero.ajibarang@yahoo.co.id;A;Tri Suratno;https://smpn2ajibarang.sch.id/;913;27;42;13;26;5;1;https://maps.app.goo.gl/5icA5fLeuwFLwB8A6
2;Ajibarang;SMP Maarif Nu 1 Ajibarang;Jl. Pandansari No 876 Ajibarang;Gofur;https://www.instagram.com/smpmanusa.ajb/;281571724;smpmanu1ajb.official@gmail.com;A;Wito;https://smpmaarifnu1ajibarang.sch.id/;0;0;32;11;0;0;0;https://maps.app.goo.gl/nw98urxWHx8nKHE76
3;Ajibarang;SMP Pgri 1 Ajibarang;Jalan Raya Tiparkidul - Ajibarang;Mulyono, S.pd.;https://www.instagram.com/smppgri1ajibarang/;2816849503;smppgrisatuajibarang@gmail.com;B;Ari Wibowo;(-);0;0;16;5;0;0;0;https://maps.app.goo.gl/vrn8wgboMvR1Fma36
4;Ajibarang;SMP Muhammadyah Ajibarang;Jl. Prajurit Ambyah No.15;Haryanto Pamungkas;https://www.instagram.com/esmuha.official/;281571537; smpmuhajb@yahoo.co.id;A;Rooswanti Fatimah;https://smpmuhammadiyahajibarang.sch.id/;346;12;16;8;13;2;1;https://maps.app.goo.gl/JhcfdiFgoCppFeZd7
5;Ajibarang;SMP Pgri 2 Ajibarang;Jl. Babakan Rt 02/03;Bayuda Ardiyanto;https://www.instagram.com/explore/locations/437321930368585/smp-pgri-2-ajibarang/;-;smppgri2ajibarang@gmail.com;B;Elsa Nur Octavia;(-);97;4;5;4;8;1;1;https://maps.app.goo.gl/vVzsxrfAGw2DvLJy7
6;Ajibarang;SMP Negeri 1 Ajibarang;Jl. Raya No. 2 Ajibarang;Sikko Varianto;https://www.instagram.com/smpn1ajibarang/;281571782;smpn1_ajb@yahoo.com;A;Anisya Anindityarani;(-);0;0;35;11;0;0;0;https://maps.app.goo.gl/QngWWerm3apuNnuN8
7;Ajibarang;SMP Maarif Nu 2 Ajibarang; Jl. Raya Ajibarang-purwojati;Waluyo;https://www.instagram.com/esperoajibarang/;-;manuda2ajb@gmail.com;B;Nur Soviyati;(-);291;9;12;4;9;1;1;https://maps.app.goo.gl/wKMt9rTSgHzBWDyx5
8;Ajibarang;SMP Negeri 3 Ajibarang;Jalan Raya Ajibarang Timur;Titi Yulianti;-;281571968; smpn3_ajb@yahoo.com;A;Febri Ahmad Darmawan;https://smpn3ajibarang.sch.id/;0;0;38;13;0;0;0;https://maps.app.goo.gl/hCKgS9GzWResRdGZ6
9;Banyumas;SMP Muhammadiyah Banyumas;Jl.sudirman No.52;Sudarmanto;https://www.facebook.com/groups/1445993952372699/;281796322;smpmuhbms@yahoo.co.id;A;Yekti Handayani;(-);138;5;6;2;8;2;1;https://maps.app.goo.gl/UNNDcy3dTadNoMzH8
10;Banyumas;SMP Negeri 1 Banyumas;Jl.alun-alun No. 1 Banyumas;Endah Kurniasih;https://www.instagram.com/spensaba.hitzz/;281796020;smpn1_bms@ymail.com;A;Aprilina Patmayanti;(-);825;24;39;12;24;2;1;https://maps.app.goo.gl/boyqwndngoG2h1zF8
